territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damages,DAMAGE,995.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damage followed by arson,DAMARS,5.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",trafficking and drugs possession,DRUG,72.50
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",extortions,EXTORT,9.30
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",forest arson,FOREARS,2.90
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",house robbery,HOUSEROB,3.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",infanticides,INFANTHOM,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intentional homicides,INTENHOM,0.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intellectual property violations,INTPROP,6.50
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",kidnappings,KIDNAPP,3.80
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides of mafia,MAFIAHOM,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mafia criminal association,MAFIASS,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",manslaughter,MANSHOM,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mass murder,MASSMURD,0.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",menaces,MENACE,154.90
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",money laundering,MONEYLAU,1.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",moped theft,MOPETHEF,62.10
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",motorcycle theft,MOTORTHEF,16.90
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",offences,OFFENCE,135.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",other crimes,OTHCRIM,836.00
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",pickpocketing,PICKTHEF,118.20
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",child pornography and possession of paedo-pornographic materials,PORNO,0.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",post office robbery,POSTROB,0.70
